Firestore (3.8.6) 2020-07-06T06:24:45.443Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"EFCI9pXnsPzsBkG","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_EFCI9pXnsPzsBkG","createTime":{"seconds":"1593342790","nanos":417952000},"updateTime":{"seconds":"1593342790","nanos":417952000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.443Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.443Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.451Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"G361Nk8MfDh0xDc","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_G361Nk8MfDh0xDc","createTime":{"seconds":"1593342782","nanos":438117000},"updateTime":{"seconds":"1593342782","nanos":438117000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.451Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.451Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.452Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"HVoxcMfhcJLtGxD","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_HVoxcMfhcJLtGxD","createTime":{"seconds":"1593342788","nanos":377815000},"updateTime":{"seconds":"1593342788","nanos":377815000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.452Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.452Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.452Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"uid":{"stringValue":"LZNUbcnW1ceSjDw","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_LZNUbcnW1ceSjDw","createTime":{"seconds":"1593342772","nanos":180240000},"updateTime":{"seconds":"1593342772","nanos":180240000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.452Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Watch.onData]: Received document change
